timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703022874473,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-916,text,false,,2244,0,676,676,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=f,0,0,0
1703022811426,63112,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-917,text,false,,3042,0,675,675,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=h,0,0,63111
1703022874537,1,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-917,text,false,,2244,0,675,675,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=h,0,0,1
1703022811489,63112,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-918,text,false,,3042,0,674,674,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=i,0,0,63112
1703022874601,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-918,text,false,,2244,0,674,674,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=i,0,0,0
1703022782806,91874,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-440,text,false,,3042,0,673,673,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=x,0,0,91874
1703022811552,63128,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-919,text,false,,3042,0,673,673,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=j,0,0,63128
1703022874679,1,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-440,text,false,,2244,0,673,673,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=x,0,0,0
1703022874680,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-919,text,false,,2244,0,673,673,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=j,0,0,0
1703022811616,63096,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-920,text,false,,3042,0,671,671,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=k,0,0,63096
